task,pulse_type,training_strength,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
H,polished_open_loop,0.08,0.08,18,0.9999971337275494,2.8662724506078874e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,19,0.9999825541216176,1.744587838237166e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,20,0.9999938254925147,6.1745074853014614e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,21,0.9999966246722748,3.3753277252079883e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,22,0.9999620003412651,3.7999658734855224e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,23,0.9999926644809558,7.335519044193717e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,24,0.999996736467209,3.263532791009105e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,25,0.9999447959266091,5.520407339087985e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,26,0.9999977245399126,2.2754600873531317e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,27,0.9999992636606136,7.36339386353535e-07,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,28,0.9999927165858015,7.2834141985334e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,29,0.9999839284845,1.6071515499982425e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,30,0.9999936911990062,6.308800993837238e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,31,0.9999857250092843,1.4274990715712477e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,32,0.999990908994693,9.091005306993694e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,33,0.9999954110851782,4.58891482180146e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,34,0.999999056876259,9.431237409929238e-07,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,35,0.9999695896587681,3.041034123185682e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,36,0.9999854363801952,1.4563619804786043e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,37,0.999933012176534,6.698782346603593e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,38,0.999998303839501,1.696160499053967e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,39,0.9999959404801669,4.059519833066183e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,40,0.999963267533276,3.6732466723976565e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,41,0.9999908730201463,9.126979853668615e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,42,0.999995616182239,4.383817761022257e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.08,43,0.9999859997186611,1.4000281338910625e-05,0.43935843152488097,5.1291345236599055e-05
