task,baseline,objective_kind,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
Z,ensemble_grape,process,0.08,24,0.9994061851343161,0.9858502502390589,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,25,0.9997018435642553,0.9850217266903044,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,26,0.999301476068378,0.9965707880561977,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,27,0.9995889128266416,0.9997259186775231,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,28,0.9981061514346382,0.997388095703645,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,29,0.9981674071210727,0.9985371564230386,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,30,0.9992479224824267,0.9881201248696524,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,31,0.998927208518643,0.9897134942829832,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,32,0.9991645247786474,0.9955761442077385,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,33,0.9994659163476334,0.9986333588718844,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,34,0.9999693453454348,0.9930015282286259,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,35,0.9984926582014643,0.9908475512892799,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,36,0.9985639722215427,0.9980030495275107,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,37,0.9995566381001528,0.9861610753940043,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,38,0.9993246708328902,0.9968969137821135,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,39,0.998414545605464,0.9978120560497569,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,40,0.9988253130484936,0.9991962534605993,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,41,0.997997531756364,0.9959248990870373,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,42,0.9993570297005769,0.9982718792557135,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,43,0.9985667215961296,0.991503180343364,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,44,0.9993375018369282,0.9973315467184366,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,45,0.9991362546004274,0.9973028633436685,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,46,0.9971508862932206,0.998046585002136,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,47,0.9995869559337482,0.9946564183912905,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,48,0.9973949525694571,0.9980824582399643,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,49,0.9985255037876968,0.9985426963366617,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
