system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,21,0.8333745921559839,0.014224293449902725,0.01453154316601224,0.1861375841079952,0.999999903594871,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,22,0.9046320820510432,0.0132689287313279,0.015769014672239012,0.104819496519005,0.9999998579902921,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,23,0.9699130177830972,0.01850743373364183,0.01850743373364183,0.06749555100540623,0.9999998805625077,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,24,0.977892012721432,0.01144898904803282,0.0152863730335967,0.08240350951019738,0.9999998783751741,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,25,0.9717618152582966,0.019957182111418392,0.019957182111418392,0.07104482384299256,0.9999998616662016,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,26,0.9511316120056139,0.01934141075508644,0.020219751641886274,0.12965227198793225,0.999999877923677,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,27,0.9271736560348595,0.015968562951005016,0.015968562951005016,0.16078155546491707,0.999999914794812,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,28,0.8813445761804439,0.026901487968295945,0.026901487968295945,0.13138162002060966,0.9999998580761895,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,29,0.9168117648156588,0.018928971135215633,0.018928971135215633,0.15962236186964138,0.9999999078977799,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,30,0.8743685170884611,0.017097292853464285,0.017097292853464285,0.21933558074827958,0.9999999029061132,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,31,0.8869770781399192,0.017060632469593218,0.019726601480347883,0.06603894249946726,0.999999838434938,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,32,0.8948336118261232,0.015442647636516371,0.01843727967898856,0.0692827279930797,0.9999998409495083,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,33,0.8403046651612376,0.011467636193273956,0.013786939631512674,0.2676914613322728,0.9999999213762786,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,34,0.9584461536757951,0.018166002381491353,0.02051756985576314,0.11051353527480334,0.9999998670473794,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,35,0.7522579711584442,0.017364649069429028,0.017972243057650106,0.3094410298068881,0.999999897680169,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,36,0.9186401356155649,0.020202731899454762,0.020202731899454762,0.06856308143335617,0.9999998686676818,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,37,0.6918326757511029,0.013088193152055894,0.01365216162858962,0.425748627925257,0.9999999452472118,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,38,0.8336181148355589,0.008717911039223813,0.008717911039223813,0.2359329884298274,0.9999999312774169,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
