task,controller,eval_strength,seed,state_fidelity,avg_gate_fidelity,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
Z,finite_process_seed,0.08,46,0.9596840119768192,0.97070832699979,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,47,0.6403651558943102,0.7600361459282493,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,48,0.9938524747284487,0.9913975243990372,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,49,0.9883076950498102,0.9911388524862946,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,50,0.8614345876366905,0.9065083077871993,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,51,0.9918438239018876,0.9940921835345162,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,52,0.9796620604717613,0.9821162827009596,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,53,0.8577000878675306,0.9048991384296237,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,54,0.8675936137360253,0.908071580156388,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,55,0.9846778242367621,0.9884142628245002,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,56,0.8191163682455987,0.8749264326190275,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,57,0.7716323057416057,0.8465985448888498,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,58,0.6304739635408768,0.7533649080831495,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,59,0.8882582510801448,0.9183398583615174,1.475,60,4,0.0,0,60,17.295424234122038
Z,standalone_process_adjoint,0.08,10,0.8840794116268099,0.9224649773527153,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,11,0.8691559773624176,0.9094742192544653,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,12,0.9009026496109045,0.9300222213786359,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,13,0.9908942595902752,0.989837536270065,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,14,0.7325796856188374,0.8215554852354168,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,15,0.9772623581693207,0.9848313490027506,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,16,0.8246306537756354,0.8801548460502687,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,17,0.9038639516129672,0.935900484079124,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,18,0.9340157160615756,0.9546410803486157,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,19,0.9590928587271328,0.9669548531834673,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,20,0.8377584972908007,0.8885069864182634,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,21,0.7744157475595119,0.8482505830298551,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,22,0.8547874144905621,0.9030686877950679,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
