task,disorder_strength,seed,score_mode,train_points_per_axis,train_net_points,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,0.02,32,mean_worst,7,335,13,2145,0.9986608238022521,3.63,0.24242424242424243,21.794971575029194
Z,0.02,33,mean_worst,7,335,13,2145,0.998166572616251,3.63,0.24242424242424243,21.794971575029194
Z,0.02,34,mean_worst,7,335,13,2145,0.9977627221371967,3.63,0.24242424242424243,21.794971575029194
Z,0.02,35,mean_worst,7,335,13,2145,0.9979357317474395,3.63,0.24242424242424243,21.794971575029194
Z,0.02,36,mean_worst,7,335,13,2145,0.9990546841656879,3.63,0.24242424242424243,21.794971575029194
Z,0.02,37,mean_worst,7,335,13,2145,0.9987071128659321,3.63,0.24242424242424243,21.794971575029194
Z,0.02,38,mean_worst,7,335,13,2145,0.9984674208460108,3.63,0.24242424242424243,21.794971575029194
Z,0.02,39,mean_worst,7,335,13,2145,0.998146345712134,3.63,0.24242424242424243,21.794971575029194
Z,0.02,40,mean_worst,7,335,13,2145,0.9991461927290779,3.63,0.24242424242424243,21.794971575029194
Z,0.02,41,mean_worst,7,335,13,2145,0.9988220107580508,3.63,0.24242424242424243,21.794971575029194
Z,0.02,42,mean_worst,7,335,13,2145,0.9983113722110428,3.63,0.24242424242424243,21.794971575029194
Z,0.02,43,mean_worst,7,335,13,2145,0.9989785965290647,3.63,0.24242424242424243,21.794971575029194
Z,0.02,44,mean_worst,7,335,13,2145,0.9984427743673834,3.63,0.24242424242424243,21.794971575029194
Z,0.02,45,mean_worst,7,335,13,2145,0.9987930104514893,3.63,0.24242424242424243,21.794971575029194
Z,0.02,46,mean_worst,7,335,13,2145,0.9989483537997962,3.63,0.24242424242424243,21.794971575029194
Z,0.02,47,mean_worst,7,335,13,2145,0.9990373774098531,3.63,0.24242424242424243,21.794971575029194
Z,0.02,48,mean_worst,7,335,13,2145,0.9986302636607418,3.63,0.24242424242424243,21.794971575029194
Z,0.02,49,mean_worst,7,335,13,2145,0.9985907462278569,3.63,0.24242424242424243,21.794971575029194
Z,0.02,50,mean_worst,7,335,13,2145,0.9980749895474774,3.63,0.24242424242424243,21.794971575029194
Z,0.02,51,mean_worst,7,335,13,2145,0.9988589278754785,3.63,0.24242424242424243,21.794971575029194
Z,0.02,52,mean_worst,7,335,13,2145,0.9988818872611187,3.63,0.24242424242424243,21.794971575029194
Z,0.02,53,mean_worst,7,335,13,2145,0.9980698194458474,3.63,0.24242424242424243,21.794971575029194
Z,0.02,54,mean_worst,7,335,13,2145,0.9978150694599881,3.63,0.24242424242424243,21.794971575029194
Z,0.02,55,mean_worst,7,335,13,2145,0.9988408084311983,3.63,0.24242424242424243,21.794971575029194
Z,0.02,56,mean_worst,7,335,13,2145,0.9975774093194504,3.63,0.24242424242424243,21.794971575029194
Z,0.02,57,mean_worst,7,335,13,2145,0.9975562349961211,3.63,0.24242424242424243,21.794971575029194
Z,0.02,58,mean_worst,7,335,13,2145,0.9990045921480097,3.63,0.24242424242424243,21.794971575029194
Z,0.02,59,mean_worst,7,335,13,2145,0.9978261705410727,3.63,0.24242424242424243,21.794971575029194
Z,0.05,10,mean_worst,7,335,13,2145,0.999095512863724,3.63,0.24242424242424243,21.794971575029194
